uid,title,genre,aired,episodes,ranked,score,link
19991,Tobidase! Bacchiri,"['Comedy', 'Kids', 'Mystery']","Nov 14, 1966 to Apr 15, 1967",132,14230,5.94,https://myanimelist.net/anime/19991/Tobidase_Bacchiri
32949,Kuzu no Honkai,"['Drama', 'Romance', 'School', 'Seinen']","Jan 13, 2017 to Mar 31, 2017",12,1906,7.45,https://myanimelist.net/anime/32949/Kuzu_no_Honkai
38506,Tokyo Art Month,['Dementia'],"Oct, 2011",1,14250,4.45,https://myanimelist.net/anime/38506/Tokyo_Art_Month
33519,Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,"['Action', 'Horror', 'Supernatural', 'Drama', 'Fantasy']",31-Dec-16,1,1905,7.45,https://myanimelist.net/anime/33519/Koutetsujou_no_Kabaneri_Movie_1__Tsudou_Hikari
40167,Cardfight!! Vanguard: Shinemon-hen,"['Action', 'Game', 'Shounen']","Aug 24, 2019 to ?",,6588,6.39,https://myanimelist.net/anime/40167/Cardfight_Vanguard__Shinemon-hen
1454,Kemonozume,"['Action', 'Horror', 'Demons', 'Supernatural', 'Romance']","Aug 6, 2006 to Nov 5, 2006",13,1904,7.45,https://myanimelist.net/anime/1454/Kemonozume
33056,Buddy Go!,"['Comedy', 'Romance', 'Shoujo']","Apr 6, 2016 to Apr 19, 2016",3,6587,6.39,https://myanimelist.net/anime/33056/Buddy_Go
32574,Kekkai Sensen: Ousama no Restaurant no Ousama,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'Fantasy', 'Shounen']",3-Jun-16,1,1903,7.45,https://myanimelist.net/anime/32574/Kekkai_Sensen__Ousama_no_Restaurant_no_Ousama
34566,Boruto: Naruto Next Generations,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power']","Apr 5, 2017 to ?",,6586,6.39,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations
33525,Tokyo 2164,['Sci-Fi'],"Dec, 2014",1,14249,4.58,https://myanimelist.net/anime/33525/Tokyo_2164
15591,Joshiraku OVA,"['Slice of Life', 'Comedy', 'Shounen']",8-Feb-13,1,1902,7.45,https://myanimelist.net/anime/15591/Joshiraku_OVA
32648,Handa-kun,"['Slice of Life', 'Comedy', 'Shounen']","Jul 8, 2016 to Sep 23, 2016",12,1901,7.45,https://myanimelist.net/anime/32648/Handa-kun
12027,Anne no Nikki: Anne Frank Monogatari,"['Drama', 'Historical']",28-Sep-79,1,6584,6.39,https://myanimelist.net/anime/12027/Anne_no_Nikki__Anne_Frank_Monogatari
9558,Changjiang Qi Hao Ai Diqiu,['Kids'],9-Jul-10,1,6589,6.39,https://myanimelist.net/anime/9558/Changjiang_Qi_Hao_Ai_Diqiu
20965,Wonder Garden,['Fantasy'],19-Oct-13,1,6582,6.4,https://myanimelist.net/anime/20965/Wonder_Garden
3011,Yotsunoha,"['Romance', 'School']","Feb 29, 2008 to Mar 28, 2008",2,6583,6.4,https://myanimelist.net/anime/3011/Yotsunoha
