uid,title,genre,aired,episodes,ranked,score,link
28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25,25,8.82,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22,24,8.83,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13,23,8.83,https://myanimelist.net/anime/34599/Made_in_Abyss
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64,1,9.23,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
31758,Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",6-Jan-17,1,22,8.83,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13,21,8.89,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
199,Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",20-Jul-01,1,20,8.9,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26,19,8.92,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7,18,8.93,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25,17,8.93,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10,16,8.94,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12,15,8.94,https://myanimelist.net/anime/34096/Gintama
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",6-Jul-13,1,14,8.95,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
918,Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 4, 2006 to Mar 25, 2010",201,13,8.97,https://myanimelist.net/anime/918/Gintama
4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24,12,8.97,https://myanimelist.net/anime/4181/Clannad__After_Story
15417,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13,11,8.98,https://myanimelist.net/anime/15417/Gintama__Enchousen
30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12,50,8.68,https://myanimelist.net/anime/30276/One_Punch_Man
16664,Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",23-Nov-13,1,250,8.28,https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari
4672,Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",12-Jul-08,1,500,8.06,https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",7-Apr-10,1,750,7.88,https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
7588,Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']","Apr 16, 2010 to Jul 2, 2010",12,800,7.86,https://myanimelist.net/anime/7588/Saraiya_Goyou
1253,Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12,799,7.86,https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen
20767,Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2,798,7.86,https://myanimelist.net/anime/20767/Noragami_OVA
1425,Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 3, 1977 to Oct 6, 1980",155,796,7.86,https://myanimelist.net/anime/1425/Lupin_III__Part_II
35363,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Comedy', 'Fantasy']",20-Sep-17,1,794,7.86,https://myanimelist.net/anime/35363/Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai
22673,Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']","Jan 29, 2014 to Sep 24, 2014",9,795,7.86,https://myanimelist.net/anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu
6862,K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",19-Jan-10,1,793,7.86,https://myanimelist.net/anime/6862/K-On__Live_House
5680,K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']","Apr 3, 2009 to Jun 26, 2009",13,792,7.86,https://myanimelist.net/anime/5680/K-On
451,InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",20-Dec-03,1,791,7.86,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken
9563,Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 23, 2010 to Oct 30, 2010",2,790,7.86,https://myanimelist.net/anime/9563/Hidamari_Sketch_x_%E2%98%86%E2%98%86%E2%98%86_Specials
30364,Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",18-Sep-15,1,789,7.86,https://myanimelist.net/anime/30364/Haikyuu_Movie_2__Shousha_to_Haisha
33280,Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",11-Nov-17,1,788,7.86,https://myanimelist.net/anime/33280/Gochuumon_wa_Usagi_Desu_ka__Dear_My_Sister
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",27-Sep-19,4,787,7.86,https://myanimelist.net/anime/36369/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_1
27633,Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']","Sep 24, 2014 to Feb 25, 2015",6,786,7.86,https://myanimelist.net/anime/27633/Gekkan_Shoujo_Nozaki-kun_Specials
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12,785,7.86,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_2nd_Season
38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']","Jan 9, 2019 to Mar 27, 2019",12,784,7.86,https://myanimelist.net/anime/38145/Doukyonin_wa_Hiza_Tokidoki_Atama_no_Ue
552,Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54,783,7.86,https://myanimelist.net/anime/552/Digimon_Adventure
1689,Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",3-Mar-07,3,781,7.86,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
8609,Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",14-Apr-10,1,782,7.86,https://myanimelist.net/anime/8609/Detective_Conan_OVA_10__Kid_in_Trap_Island
34944,Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",3-Mar-18,1,780,7.86,https://myanimelist.net/anime/34944/Bungou_Stray_Dogs__Dead_Apple
36214,Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",9-Jun-18,1,779,7.86,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']","Mar 11, 2016 to May 20, 2016",8,778,7.86,https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu_2nd_Season__Kagaijugyou-hen
36160,Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']","Aug 2, 2017 to Dec 29, 2017",21,777,7.87,https://myanimelist.net/anime/36160/Yaoguai_Mingdan_2nd_Season
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26,776,7.87,https://myanimelist.net/anime/33064/Uchuu_Senkan_Yamato_2202__Ai_no_Senshi-tachi
2265,Transformers the Movie,"['Action', 'Mecha']",9-Aug-86,1,775,7.87,https://myanimelist.net/anime/2265/Transformers_the_Movie
11001,Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",16-Jun-12,1,774,7.87,https://myanimelist.net/anime/11001/Toshokan_Sensou__Kakumei_no_Tsubasa
39940,Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12,773,7.87,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara
322,Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12,772,7.87,https://myanimelist.net/anime/322/Paradise_Kiss
38958,Manga de Wakaru! Fate/Grand Order,['Comedy'],31-Dec-18,1,770,7.87,https://myanimelist.net/anime/38958/Manga_de_Wakaru_Fate_Grand_Order
4472,Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",26-Sep-08,1,769,7.87,https://myanimelist.net/anime/4472/Lucky%E2%98%86Star__Original_na_Visual_to_Animation
97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']","Apr 8, 2003 to Sep 30, 2003",26,768,7.87,https://myanimelist.net/anime/97/Last_Exile
468,Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",6-Mar-04,1,767,7.87,https://myanimelist.net/anime/468/Koukaku_Kidoutai_2__Innocence
7645,Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49,763,7.87,https://myanimelist.net/anime/7645/Heartcatch_Precure
3604,Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jul 4, 2008 to Sep 26, 2008",13,764,7.87,https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365
1491,Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']","Sep 14, 1978 to Apr 9, 1981",113,761,7.87,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
19319,Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2013 to Mar 31, 2014",25,762,7.87,https://myanimelist.net/anime/19319/Gundam_Build_Fighters
1571,Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25,760,7.87,https://myanimelist.net/anime/1571/Ghost_Hunt
35222,Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']","Jan 7, 2018 to Mar 25, 2018",12,759,7.87,https://myanimelist.net/anime/35222/Gakuen_Babysitters
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",12-Apr-19,1,758,7.87,https://myanimelist.net/anime/38770/Detective_Conan_Movie_23__The_Fist_of_Blue_Sapphire
269,Bleach,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']","Oct 5, 2004 to Mar 27, 2012",366,757,7.87,https://myanimelist.net/anime/269/Bleach
30123,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']","Jul 7, 2015 to Sep 22, 2015",12,756,7.87,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime
32998,91 Days,"['Action', 'Drama', 'Historical']","Jul 9, 2016 to Oct 1, 2016",12,755,7.87,https://myanimelist.net/anime/32998/91_Days
202,Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","Jan 7, 2003 to Jul 29, 2003",26,754,7.88,https://myanimelist.net/anime/202/Wolfs_Rain
5005,Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']","Oct 3, 2008 to Mar 28, 2009",26,753,7.88,https://myanimelist.net/anime/5005/Tentai_Senshi_Sunred
18397,Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Dec 9, 2013 to Aug 8, 2014",3,751,7.88,https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA
3750,Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13,749,7.88,https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th
33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']","Oct 26, 2016 to Sep 27, 2017",8,748,7.88,https://myanimelist.net/anime/33263/Kubikiri_Cycle__Aoiro_Savant_to_Zaregototsukai
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Magic', 'Adventure', 'Fantasy', 'Comedy', 'Supernatural']",24-Jun-16,1,747,7.88,https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
35860,Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']","Jan 8, 2018 to Mar 26, 2018",12,746,7.88,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
3092,Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 11, 2008 to Jun 27, 2008",12,745,7.88,https://myanimelist.net/anime/3092/Junjou_Romantica
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']","Oct 5, 2019 to Mar, 2020",21,744,7.88,https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia
37033,Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']","Jan 25, 2018 to Jan 1, 2019",13,743,7.88,https://myanimelist.net/anime/37033/Emiya-san_Chi_no_Kyou_no_Gohan
28999,Charlotte,"['Drama', 'School', 'Super Power']","Jul 5, 2015 to Sep 27, 2015",13,742,7.88,https://myanimelist.net/anime/28999/Charlotte
388,Capeta,"['Cars', 'Shounen', 'Sports']","Oct 4, 2005 to Sep 26, 2006",52,741,7.88,https://myanimelist.net/anime/388/Capeta
9724,Break Blade 5: Shisen no Hate,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",22-Jan-11,1,740,7.88,https://myanimelist.net/anime/9724/Break_Blade_5__Shisen_no_Hate
37985,Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']",14-Jun-19,10,739,7.88,https://myanimelist.net/anime/37985/Aggressive_Retsuko_ONA_2nd_Season
38435,Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']","Oct 1, 2018 to Feb 1, 2019",40,738,7.89,https://myanimelist.net/anime/38435/Yao_Shen_Ji_3rd_Season
20057,Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']","Jan 5, 2014 to Mar 27, 2014",13,737,7.89,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
1172,Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']","Apr 4, 1997 to Sep 26, 1997",26,736,7.89,https://myanimelist.net/anime/1172/Slayers_Try
397,Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","Jul 11, 2001 to Sep 26, 2001",10,735,7.89,https://myanimelist.net/anime/397/Seikai_no_Senki_II
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",1-Aug-98,1,734,7.89,https://myanimelist.net/anime/2273/Mobile_Suit_Gundam_Wing__Endless_Waltz_Movie
4080,Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39,733,7.89,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
11887,Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']","Jul 8, 2012 to Sep 30, 2012",13,732,7.89,https://myanimelist.net/anime/11887/Kokoro_Connect
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']","Aug 25, 2002 to Jan 25, 2003",6,731,7.89,https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe
11135,Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']","Oct 29, 2014 to Jan 28, 2015",4,730,7.89,https://myanimelist.net/anime/11135/Hybrid_Child
13119,Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",8-Mar-14,1,729,7.89,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu
29755,Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",3-Jul-15,1,728,7.89,https://myanimelist.net/anime/29755/Haikyuu_Movie_1__Owari_to_Hajimari
267,Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']","Oct 7, 2003 to Mar 30, 2004",26,727,7.89,https://myanimelist.net/anime/267/Gungrave
4872,Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Oct 17, 2008 to Feb 17, 2009",3,726,7.89,https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei
3665,Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']","Dec 24, 1999 to Jun 27, 2001",28,725,7.89,https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999
37150,Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']","Jan 20, 2018 to Jul 14, 2018",26,724,7.89,https://myanimelist.net/anime/37150/Douluo_Dalu
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",24-Jul-09,1,723,7.89,https://myanimelist.net/anime/6768/Code_Geass__Hangyaku_no_Lelouch_R2_Special_Edition_-_Zero_Requiem
12403,Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 3, 2012 to Sep 18, 2012",12,722,7.9,https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA
39597,Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","Oct 13, 2019 to Dec 29, 2019",12,721,7.9,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld
15771,Saint☆Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",10-May-13,1,720,7.9,https://myanimelist.net/anime/15771/Saint%E2%98%86Oniisan_Movie
82,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 25, 1989 to Aug 25, 1989",6,719,7.9,https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket
34745,Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']","Jul 11, 2017 to Dec 20, 2017",24,718,7.9,https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",29-Dec-07,1,717,7.9,https://myanimelist.net/anime/3782/Kara_no_Kyoukai_2__Satsujin_Kousatsu_Zen
253,Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']","Apr 3, 2001 to Sep 25, 2001",26,716,7.9,https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu
12413,Jormungand,"['Action', 'Adventure', 'Seinen']","Apr 11, 2012 to Jun 27, 2012",12,715,7.9,https://myanimelist.net/anime/12413/Jormungand
5630,Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']","Apr 10, 2009 to Jun 19, 2009",11,714,7.89,https://myanimelist.net/anime/5630/Higashi_no_Eden
38816,Hello World,['Sci-Fi'],20-Sep-19,1,713,7.9,https://myanimelist.net/anime/38816/Hello_World
29787,Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']","Oct 10, 2015 to Dec 26, 2015",12,712,7.9,https://myanimelist.net/anime/29787/Gochuumon_wa_Usagi_Desu_ka
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']","Jul 23, 1992 to Jan 25, 1998",7,711,7.9,https://myanimelist.net/anime/2321/Giant_Robo_the_Animation__Chikyuu_ga_Seishi_Suru_Hi
37822,Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']","Dec 1, 2018 to ?",,710,7.9,https://myanimelist.net/anime/37822/Douluo_Dalu_2nd_Season
4447,Detective Conan Movie 12: Full Score of Fear,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",19-Apr-08,1,709,7.9,https://myanimelist.net/anime/4447/Detective_Conan_Movie_12__Full_Score_of_Fear
1505,Detective Conan Movie 09: Strategy Above the Depths,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",9-Apr-05,1,708,7.9,https://myanimelist.net/anime/1505/Detective_Conan_Movie_09__Strategy_Above_the_Depths
1472,City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']","Oct 15, 1989 to Jan 21, 1990",13,707,7.9,https://myanimelist.net/anime/1472/City_Hunter_3
9465,Break Blade 4: Sanka no Chi,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",30-Oct-10,1,706,7.9,https://myanimelist.net/anime/9465/Break_Blade_4__Sanka_no_Chi
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']","Jul 12, 2017 to Sep 27, 2017",12,705,7.91,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
38349,Wotaku ni Koi wa Muzukashii: Youth,"['Slice of Life', 'Comedy', 'Romance']",29-Mar-19,1,704,7.91,https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii__Youth
17949,The Everlasting Guilty Crown,['Music'],7-Mar-12,1,703,7.91,https://myanimelist.net/anime/17949/The_Everlasting_Guilty_Crown
12445,Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 9, 2012 to Jun 25, 2012",12,702,7.91,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
1254,Saint Seiya,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","Oct 11, 1986 to Apr 1, 1989",114,701,7.91,https://myanimelist.net/anime/1254/Saint_Seiya
35073,Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","Jan 9, 2018 to Apr 3, 2018",13,700,7.91,https://myanimelist.net/anime/35073/Overlord_II
597,Neko no Ongaeshi,"['Adventure', 'Drama', 'Fantasy']",20-Jul-02,1,699,7.91,https://myanimelist.net/anime/597/Neko_no_Ongaeshi
569,Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']","Jan 25, 1993 to Jul 19, 1993",26,698,7.91,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
19111,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']","Apr 6, 2014 to Jun 29, 2014",13,697,7.91,https://myanimelist.net/anime/19111/Love_Live_School_Idol_Project_2nd_Season
14349,Little Witch Academia,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']",2-Mar-13,1,696,7.91,https://myanimelist.net/anime/14349/Little_Witch_Academia
4898,Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24,695,7.91,https://myanimelist.net/anime/4898/Kuroshitsuji
249,InuYasha (TV),"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Oct 16, 2000 to Sep 13, 2004",167,694,7.91,https://myanimelist.net/anime/249/InuYasha_TV
12893,Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']","Apr 3, 2012 to Sep 4, 2012",6,693,7.91,https://myanimelist.net/anime/12893/Danshi_Koukousei_no_Nichijou_Specials
8142,Colorful (Movie),"['Slice of Life', 'Supernatural', 'Drama']",21-Aug-10,1,692,7.91,https://myanimelist.net/anime/8142/Colorful_Movie
532,Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38,691,7.91,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
21185,Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']","Apr 6, 2014 to Sep 21, 2014",25,690,7.91,https://myanimelist.net/anime/21185/Baby_Steps
